gear,area,target,id_q,value,id_I,short_description,text,score_obs,style,event_code,strategy,solution
NA,NA,NA,6,3,1,cope_condition,"We release 98% of the fish; we are more concerned with the survival of the fish, e.g., during a heatwave survival becomes difficult; we don’t want to fish pike when it’s 30 degrees, then we’d rather fish sea trout that can survive better when we release it, since it goes down to colder depth ",3,fishing guide,hws,A,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,hws,,
NA,NA,NA,15,2,1,avoidance,NA,NA,fishing guide,hws,,
not_specified,NA,NA,2,NA,1,go_out,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)",M,fishing guide,hww,A,
ice fishing,NA,NA,2,1,1,go_out,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)",M,fishing guide,hww,A,
rod,NA,NA,2,5,1,go_out,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)",M,fishing guide,hww,A,
NA,NA,NA,4,-997,1,catch_assemblage,": 5   sea trout on open water, instead of perch and pike under the ice",5,fishing guide,hww,A,
NA,NA,NA,6,-999,1,cope_condition,NA,NA,fishing guide,hww,,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,hww,,
NA,NA,NA,15,1,1,avoidance,NA,NA,fishing guide,hww,,
not_specified,NA,NA,2,1,1,go_out,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks",1,fishing guide,ici,C,
ice fishing,NA,NA,2,NA,1,go_out,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks",1,fishing guide,ici,C,
rod,NA,NA,2,NA,1,go_out,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks",1,fishing guide,ici,C,
NA,NA,NA,4,-998,1,catch_assemblage,No information,NA,fishing guide,ici,C,
NA,NA,NA,6,-999,1,cope_condition,NA,NA,fishing guide,ici,,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,ici,,
NA,NA,NA,15,1,1,avoidance,NA,NA,fishing guide,ici,,
NA,NA,NA,2,NA,1,go_out,"A lot is about safety, combinations become dangerous, e.g., strong icing and strong winds, I avoid this as much as possible; would also get fewer requests, since fishing should be enjoyable",NA,fishing guide,NA,,
NA,NA,NA,6,NA,1,cope_condition,"We release 98% of the fish; we are more concerned with the survival of the fish, e.g., during a heatwave survival becomes difficult; we don’t want to fish pike when it’s 30 degrees, then we’d rather fish sea trout that can survive better when we release it, since it goes down to colder depth ",NA,fishing guide,NA,,
NA,NA,NA,13,NA,1,change_practices,"Change all the time according to the conditions; place, species and gear",NA,fishing guide,NA,,
NA,NA,NA,15,NA,1,avoidance,"Easy for me to switch but ask what the customers want (e.g., Americans who are booked for ice fishing). Large differences from the normal are a problem, with bookings   we do not know what we shall book (e.g., closed Nyköpingsån fishing due to heatwave). The customers also have to be flexible. 2 for those that are not dangerous; 1 for what is dangerous (cannot conduct activities)",NA,fishing guide,NA,,
not_specified,NA,NA,2,1,1,go_out,1,1,fishing guide,sto,C,
NA,NA,NA,4,-998,1,catch_assemblage,Cancel,NA,fishing guide,sto,C,
NA,NA,NA,6,-999,1,cope_condition,NA,NA,fishing guide,sto,,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,sto,,
NA,NA,NA,15,1,1,avoidance,NA,NA,fishing guide,sto,,
NA,NA,NA,2,4,2,go_out,Doesn’t affect us much up here; locally there may be algal bloom in a bay. (4) ,4,coastal,abl,,
NA,NA,NA,4,-998,2,catch_assemblage,NA,NA,coastal,abl,,
NA,NA,NA,6,4,2,cope_condition,"Fish in deeper waters, not difficult to avoid",NA,coastal,abl,R,travel
NA,NA,NA,13,0,2,change_practices,0,0,coastal,abl,,
NA,NA,NA,15,4,2,avoidance,Quite easy (4).,4,coastal,abl,,
NA,NA,NA,2,3,2,go_out,3,3,coastal,erf,,
NA,NA,NA,4,1,2,catch_assemblage,1,1,coastal,erf,,
NA,NA,NA,6,-999,2,cope_condition,NA,NA,coastal,erf,,
NA,NA,NA,13,0,2,change_practices,(0)   We wait until the downpour is over and then go out; usually it only lasts a few hours.,0,coastal,erf,C,
NA,NA,NA,15,-999,2,avoidance,"Doesn’t affect much, so   (not scored).",NA,coastal,erf,,
NA,NA,NA,2,1,2,go_out,"1, not me at least with my small boat",1,coastal,gal,C,
NA,NA,NA,4,1,2,catch_assemblage,1,1,coastal,gal,,
NA,NA,NA,6,-999,2,cope_condition,NA,NA,coastal,gal,,
NA,NA,NA,13,2,2,change_practices,(2)   Then we may not go out at all.,2,coastal,gal,C,
NA,NA,NA,15,1,2,avoidance,"When it’s windy, it’s windy everywhere, so quite difficult (1)   although you can always find some spot.",1,coastal,gal,R,travel
NA,NA,NA,2,3,2,go_out,(3) Depends a little on what we are fishing,3,coastal,hws,,
NA,NA,NA,4,4,2,catch_assemblage,"Somewhat different species if we fish in the same place   e.g., a lot of bream; somewhat different (4).",4,coastal,hws,,
NA,NA,NA,6,3,2,cope_condition,"Fish in deeper waters, maybe a middle value (3).",3,coastal,hws,R,travel
NA,NA,NA,13,1,2,change_practices,(1)   Might change areas a little bit,1,coastal,hws,R,travel
NA,NA,NA,15,2,2,avoidance,(2)   Quite difficult.,2,coastal,hws,,
NA,NA,NA,2,-999,2,go_out,"Extremely warm winter   we ice fish so little, therefore it is a bit difficult to answer. (2)",2,coastal,hww,,
NA,NA,NA,4,-999,2,catch_assemblage,1,1,coastal,hww,,
NA,NA,NA,6,-999,2,cope_condition,NA,NA,coastal,hww,,
NA,NA,NA,13,1,2,change_practices,(1)   We might choose areas where travel on ice is easier.,1,coastal,hww,R,travel
NA,NA,NA,15,2,2,avoidance,"Not so easy, rather difficult (2).",2,coastal,hww,,
NA,NA,NA,2,1,2,go_out,1,1,coastal,ici,,
NA,NA,NA,4,-998,2,catch_assemblage,NA,NA,coastal,ici,,
NA,NA,NA,6,-999,2,cope_condition,NA,NA,coastal,ici,,
NA,NA,NA,13,-999,2,change_practices,We fish so little during that season that it’s hard to say,NA,coastal,ici,,
NA,NA,NA,15,-999,2,avoidance,can’t answer,NA,coastal,ici,,
NA,NA,NA,2,NA,2,go_out,Not really; it’s the wind that is decisive for us,NA,coastal,NA,,
NA,NA,NA,2,1,2,go_out,1,1,coastal,sto,,
NA,NA,NA,4,-998,2,catch_assemblage,NA,NA,coastal,sto,,
NA,NA,NA,6,-999,2,cope_condition,NA,NA,coastal,sto,,
NA,NA,NA,13,2,2,change_practices,(2)   Then it’s quite certain we won’t go out.,2,coastal,sto,C,
NA,NA,NA,15,1,2,avoidance,Impossible to fish at all (1).,1,coastal,sto,C,
NA,NA,NA,2,5,3,go_out,"Rare up here, but still fish. =5.",5,coastal,abl,,
NA,NA,NA,4,1,3,catch_assemblage,not directly (1),1,coastal,abl,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,abl,,
NA,NA,NA,13,2,3,change_practices,"In bays, same as in heatwaves",NA,coastal,abl,R,travel
NA,NA,NA,15,2,3,avoidance,"If heat lasts long, algal bloom spreads and worsens fishing. =2.",2,coastal,abl,,
NA,NA,NA,2,3,3,go_out,"If gear is already out, we go anyway. If not, we wait. =3.",3,coastal,erf,C,
NA,NA,NA,4,1,3,catch_assemblage,no (1),1,coastal,erf,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,erf,,
NA,NA,NA,13,0,3,change_practices,0,0,coastal,erf,,
NA,NA,NA,15,4,3,avoidance,"Yes, possible.",NA,coastal,erf,,
NA,NA,NA,2,1,3,go_out,"No, we stay home. =1.",1,coastal,gal,C,
NA,NA,NA,4,1,3,catch_assemblage,1,1,coastal,gal,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,gal,,
NA,NA,NA,13,2,3,change_practices,"2. Move to less windy spots. For herring it’s harder, so maybe stay home.",2,coastal,gal,R,travel
NA,NA,NA,15,4,3,avoidance,"Yes, but usually means staying home ",NA,coastal,gal,,
NA,NA,NA,2,5,3,go_out,"Then we fish, just go further out where it’s cooler. =5.",5,coastal,hws,R,travel
NA,NA,NA,4,1,3,catch_assemblage,very similar (1),1,coastal,hws,,
NA,NA,NA,6,5,3,cope_condition,"Only b. Go out before midday heat. Early mornings for herring, perch later in day. Adjust by hauling nets earlier. =5.",5,coastal,hws,R,short
NA,NA,NA,13,2,3,change_practices,"Yes, set in other places, change a lot. =2. Salmon gear is fixed at paid spots all summer, so they stay.",2,coastal,hws,,
NA,NA,NA,15,5,3,avoidance,Works – go further out (usually warmest inshore). =5. ,5,coastal,hws,R,travel
NA,NA,NA,2,-999,3,go_out,"Depends on ice. Boats are usually hauled up in winter. If forecast shows winter is over, we might launch. Unlikely to put in and haul up again. Might use the small boat if open water, but ice may return. Large boats remain on land. =1 regardless.",NA,coastal,hww,,
NA,NA,NA,4,-999,3,catch_assemblage,Not relevant.,NA,coastal,hww,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,hww,,
NA,NA,NA,13,-999,3,change_practices,NA,NA,coastal,hww,,
NA,NA,NA,15,-999,3,avoidance,NA,NA,coastal,hww,,
NA,NA,NA,2,-999,3,go_out,5 (icing can happen in spring). ,5,coastal,ici,C,
NA,NA,NA,4,-999,3,catch_assemblage,not relevant,NA,coastal,ici,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,ici,,
NA,NA,NA,13,-999,3,change_practices,NA,NA,coastal,ici,,
NA,NA,NA,15,-999,3,avoidance,NA,NA,coastal,ici,,
NA,NA,NA,2,NA,3,go_out,"Wind has the greatest impact here. Wind direction matters too (this August mostly W & NW winds, cooling the water – no point fishing perch then, they just stop moving).",NA,coastal,NA,,
NA,NA,NA,2,1,3,go_out,"No, we stay home. =1.",1,coastal,sto,C,
NA,NA,NA,4,1,3,catch_assemblage,1,1,coastal,sto,,
NA,NA,NA,6,-999,3,cope_condition,NA,NA,coastal,sto,,
NA,NA,NA,13,-998,3,change_practices,"Don’t go out at all, follow forecasts. Our boat is 12 m, so never in storms",NA,coastal,sto,C,
NA,NA,NA,15,2,3,avoidance,Storms are hard to avoid.,NA,coastal,sto,,
NA,NA,NA,2,1,4,go_out,1,1,subsistence,abl,,
NA,NA,NA,4,5,4,catch_assemblage,"We don’t really fish much then; would guess the fish flee from the algal bloom, 5 ",5,subsistence,abl,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,abl,,
NA,NA,NA,13,2,4,change_practices,2 then we do not go fish,2,subsistence,abl,C,
NA,NA,NA,15,1,4,avoidance,Stop fishing,NA,subsistence,abl,C,
NA,NA,NA,2,1,4,go_out,"We can get to the boathouse, but from there out onto the lake it’s more difficult; 1, if we don’t have gear in the water. But we check the weather forecast very carefully before putting in the gear.",1,subsistence,erf,,
NA,NA,NA,4,-998,4,catch_assemblage,Can’t answer,NA,subsistence,erf,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,erf,,
NA,NA,NA,13,1,4,change_practices,"Don’t go out to set nets, but we do collect them if already out ",NA,subsistence,erf,C,
NA,NA,NA,15,1,4,avoidance,"1, no, we stop completely",1,subsistence,erf,C,
NA,NA,NA,2,1,4,go_out,1,1,subsistence,gal,,
NA,NA,NA,4,-998,4,catch_assemblage,"Hard to say, we don’t fish much then",NA,subsistence,gal,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,gal,,
NA,NA,NA,13,2,4,change_practices,"We sometimes set in more sheltered bays less exposed, =2.",2,subsistence,gal,R,travel
NA,NA,NA,15,4,4,avoidance,"4, switch bays",4,subsistence,gal,R,travel
NA,NA,NA,2,2,4,go_out,2. Depends on how it affects winds and algal blooms; this year we had huge problems with algal blooms (1 month).,2,subsistence,hws,,
NA,NA,NA,4,-998,4,catch_assemblage,Can’t answer.,NA,subsistence,hws,,
NA,NA,NA,6,3,4,cope_condition,"If perch turn yellow and bad from the heat, we can do a day-set (not overnight). Have also set nets around a shoal and driven fish inside, which improved quality. We don’t have ice machines, so we can influence it a little",NA,subsistence,hws,R,short
NA,NA,NA,13,1,4,change_practices,"0 Only with algal bloom. If we want whitefish in summer during heatwave, they move deeper (15 m), =1. Move a few hundred meters",1,subsistence,hws,R,travel
NA,NA,NA,15,1,4,avoidance,"Drive grandchildren to another bay; no, we don’t change fishing spot, we stop fishing",NA,subsistence,hws,C,
NA,NA,NA,2,4,4,go_out,"Quite likely, if the water is open we’ll go out, 4",4,subsistence,hww,C,
NA,NA,NA,4,-998,4,catch_assemblage,Can’t answer.,NA,subsistence,hww,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,hww,,
NA,NA,NA,13,0,4,change_practices,0,0,subsistence,hww,,
NA,NA,NA,15,-999,4,avoidance,no need,NA,subsistence,hww,,
NA,NA,NA,2,-999,4,go_out,"No problem for us, too far south.",NA,subsistence,ici,,
NA,NA,NA,4,-999,4,catch_assemblage,NA,NA,subsistence,ici,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,ici,,
NA,NA,NA,13,-999,4,change_practices,NA,NA,subsistence,ici,,
NA,NA,NA,15,-999,4,avoidance,NA,NA,subsistence,ici,,
NA,NA,NA,2,NA,4,go_out,Strong winds and high water levels.,NA,subsistence,NA,,
NA,NA,NA,2,1,4,go_out,1,1,subsistence,sto,,
NA,NA,NA,4,-998,4,catch_assemblage,"Hard to say, we don’t fish much then",NA,subsistence,sto,,
NA,NA,NA,6,-999,4,cope_condition,NA,NA,subsistence,sto,,
NA,NA,NA,13,2,4,change_practices,"We sometimes set in more sheltered bays less exposed, =2.",2,subsistence,sto,R,travel
NA,NA,NA,15,1,4,avoidance,Don’t go fishing,NA,subsistence,sto,C,
NA,NA,not_specified,2,2,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,zander,2,NA,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,perch,2,NA,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,trout,2,NA,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,salmon,2,NA,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,pike,2,NA,5,go_out,"Less attractive, but still possible to fish; =2.",2,recreational,abl,,
NA,NA,NA,4,1,5,catch_assemblage,No,NA,recreational,abl,,
NA,NA,NA,6,-999,5,cope_condition,NA,NA,recreational,abl,,
NA,NA,not_specified,13,1,5,change_practices,"Maybe 1 – switch to another bay; if bloom is everywhere, then skip.",1,recreational,abl,R,travel
NA,NA,perch,13,NA,5,change_practices,"Maybe 1 – switch to another bay; if bloom is everywhere, then skip.",1,recreational,abl,,
NA,NA,salmon/trout,13,NA,5,change_practices,"Maybe 1 – switch to another bay; if bloom is everywhere, then skip.",1,recreational,abl,,
NA,NA,NA,15,4,5,avoidance,Easier – could switch to a lake if planning coastal fishing,NA,recreational,abl,,
NA,NA,not_specified,2,2,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,C,
NA,NA,zander,2,NA,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,,
NA,NA,perch,2,NA,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,,
NA,NA,trout,2,NA,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,,
NA,NA,salmon,2,NA,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,,
NA,NA,pike,2,NA,5,go_out,People hold back; it’s a comfort factor. Most stay indoors,NA,recreational,erf,,
NA,NA,NA,4,1,5,catch_assemblage,No,NA,recreational,erf,,
NA,NA,NA,6,-999,5,cope_condition,NA,NA,recreational,erf,,
NA,NA,not_specified,13,2,5,change_practices,2 – you stay indoors,2,recreational,erf,,
NA,NA,perch,13,NA,5,change_practices,2 – you stay indoors,2,recreational,erf,C,
NA,NA,salmon/trout,13,NA,5,change_practices,2 – you stay indoors,2,recreational,erf,,
NA,NA,NA,15,2,5,avoidance,Hard,NA,recreational,erf,,
NA,NA,not_specified,2,2,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,R,travel
NA,NA,zander,2,NA,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,,
NA,NA,perch,2,NA,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,,
NA,NA,trout,2,NA,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,,
NA,NA,salmon,2,NA,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,,
NA,NA,pike,2,NA,5,go_out,"Yes, people hold back; most stay home, except the really keen ones who may go out in sheltered spots",NA,recreational,gal,R,travel
NA,NA,NA,4,999,5,catch_assemblage,"Not directly, but on the coast with prolonged winds you can get upwelling; perch may move closer inshore, and trout & whitefish may appear shallower than normal. Seen within a season",NA,recreational,gal,,
NA,NA,NA,6,-999,5,cope_condition,NA,NA,recreational,gal,,
NA,NA,not_specified,13,1,5,change_practices,"If sheltered, you can fish a little, =1, unless fully blown in.",1,recreational,gal,R,travel
NA,NA,perch,13,NA,5,change_practices,"If sheltered, you can fish a little, =1, unless fully blown in.",1,recreational,gal,,
NA,NA,salmon/trout,13,NA,5,change_practices,"If sheltered, you can fish a little, =1, unless fully blown in.",1,recreational,gal,,
NA,NA,NA,15,3,5,avoidance,to some extent – find a sheltered spot,NA,recreational,gal,,
NA,NA,not_specified,2,NA,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,A,
NA,NA,zander,2,5,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,A,
NA,NA,perch,2,5,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,,
NA,NA,trout,2,1,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,,
NA,NA,salmon,2,1,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,,
NA,NA,pike,2,2,5,go_out,"Yes, but in another way. When it’s hot, fishing in running waters (salmon, trout, grayling) is closed. Perch and zander fishing only gets better in warm weather. Few target pike in a heatwave. But if you booked a salmon-fishing week, it simply gets canceled. Zander & perch = 5; salmon & trout = 1; pike = 2 (or 1, discussed with another angler present). But “vacation fishers” will probably go out regardless. Pike fishing is usually in spring & autumn; high temps affect survival.",M,recreational,hws,,
NA,NA,NA,4,2,5,catch_assemblage,"No, you fish where you fish, so you get the species present there. But in mountain areas, if you target trout or grayling but the system also has pike and perch, you might get more of those instead. From a boat it’s usually small differences",NA,recreational,hws,,
NA,NA,NA,6,1,5,cope_condition,"No, nothing can be done. If fish are in poor condition, there’s nothing you can do. Doesn’t really apply to sport fishing since fish aren’t trapped in gear",NA,recreational,hws,C,
NA,NA,not_specified,13,NA,5,change_practices,Mixed,NA,recreational,hws,,
NA,NA,perch,13,0,5,change_practices,Mixed,NA,recreational,hws,,
NA,NA,salmon/trout,13,2,5,change_practices,Mixed,NA,recreational,hws,,
NA,NA,NA,15,2,5,avoidance,Hard,NA,recreational,hws,,
NA,NA,not_specified,2,1,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,C,
NA,NA,zander,2,NA,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,,
NA,NA,perch,2,NA,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,,
NA,NA,trout,2,NA,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,,
NA,NA,salmon,2,NA,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,,
NA,NA,pike,2,NA,5,go_out,"If it’s otherwise a good winter, then it’s just nice weather. But if it’s a mild winter, then you can’t go out. Is ice fishing the dominant form? Few go out in boats? On the big lakes. and at Simrishamn there is some trolling from boats. If we think about ice fishing?Absolutely, =1 if the ice isn’t there or is dangerous to walk on.",1,recreational,hww,,
NA,NA,NA,4,1,5,catch_assemblage,"No, very similar",NA,recreational,hww,,
NA,NA,NA,6,-999,5,cope_condition,NA,NA,recreational,hww,,
NA,NA,not_specified,13,2,5,change_practices,"2 – if the ice is unsafe, you don’t go out.",2,recreational,hww,C,
NA,NA,perch,13,NA,5,change_practices,"2 – if the ice is unsafe, you don’t go out.",2,recreational,hww,,
NA,NA,salmon/trout,13,NA,5,change_practices,"2 – if the ice is unsafe, you don’t go out.",2,recreational,hww,,
NA,NA,NA,15,2,5,avoidance,"Hard, scale is large.",NA,recreational,hww,,
NA,NA,not_specified,2,1,5,go_out,Big impact.,NA,recreational,ici,C,
NA,NA,zander,2,NA,5,go_out,Big impact.,NA,recreational,ici,,
NA,NA,perch,2,NA,5,go_out,Big impact.,NA,recreational,ici,,
NA,NA,trout,2,NA,5,go_out,Big impact.,NA,recreational,ici,,
NA,NA,salmon,2,NA,5,go_out,Big impact.,NA,recreational,ici,,
NA,NA,pike,2,NA,5,go_out,Big impact.,NA,recreational,ici,,
NA,NA,NA,4,-998,5,catch_assemblage,"No, icing is rare",NA,recreational,ici,,
NA,NA,NA,6,-999,5,cope_condition,NA,NA,recreational,ici,,
NA,NA,not_specified,13,-998,5,change_practices,NA,NA,recreational,ici,,
NA,NA,perch,13,NA,5,change_practices,NA,NA,recreational,ici,,
NA,NA,salmon/trout,13,NA,5,change_practices,NA,NA,recreational,ici,,
NA,NA,NA,15,-998,5,avoidance,NA,NA,recreational,ici,,
NA,NA,NA,2,NA,5,go_out,"Combination of gale/storm and heavy rain – Even more unpleasant, a negative synergy effect",NA,recreational,NA,,
NA,NA,not_specified,2,1,5,go_out,"No, impossible to fish.",NA,recreational,sto,C,
NA,NA,zander,2,NA,5,go_out,"No, impossible to fish.",NA,recreational,sto,,
NA,NA,perch,2,NA,5,go_out,"No, impossible to fish.",NA,recreational,sto,,
NA,NA,trout,2,NA,5,go_out,"No, impossible to fish.",NA,recreational,sto,,
