"gear","area","target","id_q","id_sub","value","range.lwr","range.upr","unit_range","id_I"
NA,NA,"perch",3,"f",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"f","999",NA,NA,NA,"3"
NA,NA,"salmon",3,"f","999",NA,NA,NA,"3"
NA,NA,"not_specified",3,"g",NA,NA,NA,NA,"3"
NA,NA,"perch",3,"g",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"g","999",NA,NA,NA,"3"
NA,NA,"salmon",3,"g","999",NA,NA,NA,"3"
NA,NA,NA,4,"a","-999",NA,NA,NA,"3"
NA,NA,NA,4,"b","1",NA,NA,NA,"3"
NA,NA,NA,4,"c","-999",NA,NA,NA,"3"
NA,NA,NA,4,"d","1",NA,NA,NA,"3"
NA,NA,NA,4,"e","1",NA,NA,NA,"3"
NA,NA,NA,4,"f","1",NA,NA,NA,"3"
NA,NA,NA,4,"g","1",NA,NA,NA,"3"
NA,NA,NA,5,"a","-999",NA,NA,NA,"3"
NA,NA,NA,5,"b","1",NA,NA,NA,"3"
NA,NA,NA,5,"c","-999",NA,NA,NA,"3"
NA,NA,NA,5,"d","3",NA,NA,NA,"3"
NA,NA,NA,5,"e","3",NA,NA,NA,"3"
NA,NA,NA,5,"f","3",NA,NA,NA,"3"
NA,NA,NA,5,"g","3",NA,NA,NA,"3"
NA,NA,NA,6,"a","-999",NA,NA,NA,"3"
NA,NA,NA,6,"b","5",NA,NA,NA,"3"
NA,NA,NA,6,"c","-999",NA,NA,NA,"3"
NA,NA,NA,6,"d","-999",NA,NA,NA,"3"
NA,NA,NA,6,"e","-999",NA,NA,NA,"3"
NA,NA,NA,6,"f","-999",NA,NA,NA,"3"
NA,NA,NA,6,"g","-999",NA,NA,NA,"3"
NA,NA,NA,7,"a","-999",NA,NA,NA,"3"
NA,NA,NA,7,"b","1",NA,NA,NA,"3"
NA,NA,NA,7,"c","-999",NA,NA,NA,"3"
NA,NA,NA,7,"d","1",NA,NA,NA,"3"
NA,NA,NA,7,"e","1",NA,NA,NA,"3"
NA,NA,NA,7,"f","1",NA,NA,NA,"3"
NA,NA,NA,7,"g","1",NA,NA,NA,"3"
NA,NA,NA,8,NA,"1",NA,NA,NA,"3"
NA,NA,NA,9,"a","-999",NA,NA,NA,"3"
NA,NA,NA,9,"b","0",NA,NA,NA,"3"
NA,NA,NA,9,"c","-999",NA,NA,NA,"3"
NA,NA,NA,9,"d","0",NA,NA,NA,"3"
NA,NA,NA,9,"e","0",NA,NA,NA,"3"
NA,NA,NA,9,"f","1",NA,NA,NA,"3"
NA,NA,NA,9,"g","-998",NA,NA,NA,"3"
NA,NA,NA,10,"a","-999",NA,NA,NA,"3"
NA,NA,NA,10,"b","0",NA,NA,NA,"3"
NA,NA,NA,10,"c","-999",NA,NA,NA,"3"
NA,NA,NA,10,"d","0",NA,NA,NA,"3"
NA,NA,NA,10,"e","0",NA,NA,NA,"3"
NA,NA,NA,10,"f","999",NA,NA,NA,"3"
NA,NA,NA,10,"g","999",NA,NA,NA,"3"
NA,NA,NA,11,NA,NA,"1","50000","sek_year","3"
NA,NA,NA,12,NA,NA,"50000","2e+05","sek","3"
NA,NA,NA,13,"a","-999",NA,NA,NA,"3"
NA,NA,NA,13,"b","2",NA,NA,NA,"3"
NA,NA,NA,13,"c","-999",NA,NA,NA,"3"
NA,NA,NA,13,"d","2",NA,NA,NA,"3"
NA,NA,NA,13,"e","0",NA,NA,NA,"3"
NA,NA,NA,13,"f","2",NA,NA,NA,"3"
NA,NA,NA,13,"g","-998",NA,NA,NA,"3"
NA,NA,NA,14,NA,"1",NA,NA,NA,"3"
NA,NA,NA,15,"a","-999",NA,NA,NA,"3"
NA,NA,NA,15,"b","5",NA,NA,NA,"3"
NA,NA,NA,15,"c","-999",NA,NA,NA,"3"
NA,NA,NA,15,"d","2",NA,NA,NA,"3"
NA,NA,NA,15,"e","4",NA,NA,NA,"3"
NA,NA,NA,15,"f","4",NA,NA,NA,"3"
NA,NA,NA,15,"g","2",NA,NA,NA,"3"
NA,NA,NA,16,NA,"999",NA,NA,NA,"3"
NA,NA,NA,17,NA,"0",NA,NA,NA,"3"
NA,NA,NA,18,NA,"1",NA,NA,NA,"3"
NA,NA,NA,19,NA,"0",NA,NA,NA,"3"
NA,NA,NA,20,NA,"1",NA,NA,NA,"3"
NA,NA,NA,21,"a","1",NA,NA,NA,"3"
NA,NA,NA,21,"b","5",NA,NA,NA,"3"
NA,NA,NA,21,"c","3",NA,NA,NA,"3"
NA,NA,NA,22,NA,"1",NA,NA,NA,"3"
NA,NA,NA,23,NA,"5",NA,NA,NA,"3"
NA,NA,NA,24,NA,"5",NA,NA,NA,"3"
NA,NA,NA,25,NA,"1",NA,NA,NA,"3"
NA,NA,NA,26,NA,"5",NA,NA,NA,"3"
NA,NA,NA,27,NA,"5",NA,NA,NA,"3"
NA,NA,NA,28,NA,"5",NA,NA,NA,"3"
NA,NA,NA,29,NA,"5",NA,NA,NA,"3"
NA,NA,NA,30,NA,"5",NA,NA,NA,"3"
NA,NA,NA,31,NA,"1",NA,NA,NA,"3"
NA,NA,NA,32,NA,"5",NA,NA,NA,"3"
NA,NA,NA,33,NA,"5",NA,NA,NA,"3"
NA,NA,NA,34,NA,"5",NA,NA,NA,"3"
NA,NA,NA,35,NA,"2",NA,NA,NA,"3"
NA,NA,NA,36,NA,NA,"120","150","days","3"
NA,NA,NA,37,NA,NA,"10000","15000","sek_day","3"
NA,NA,NA,38,NA,NA,"150000","2e+05","sek_season","3"
NA,NA,NA,39,NA,NA,"1500","2500","sek_day","3"
NA,NA,NA,40,NA,NA,"3000","5000","sek_day","3"
NA,NA,NA,41,NA,NA,"0","200","sek_hour","3"
NA,NA,NA,42,NA,NA,"20","30","hours_event","3"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported","3"
NA,NA,NA,44,NA,"2",NA,NA,NA,"3"
NA,NA,NA,45,NA,"-999",NA,NA,NA,"3"
NA,NA,NA,0,NA,"subsistence",NA,NA,NA,"4"
NA,NA,NA,2,"a","4",NA,NA,NA,"4"
NA,NA,NA,2,"b","2",NA,NA,NA,"4"
NA,NA,NA,2,"c","-999",NA,NA,NA,"4"
NA,NA,NA,2,"d","1",NA,NA,NA,"4"
NA,NA,NA,2,"e","1",NA,NA,NA,"4"
NA,NA,NA,2,"f","1",NA,NA,NA,"4"
NA,NA,NA,2,"g","1",NA,NA,NA,"4"
NA,NA,NA,3,"a","2",NA,NA,NA,"4"
NA,NA,NA,3,"b","3",NA,NA,NA,"4"
NA,NA,NA,3,"c","-999",NA,NA,NA,"4"
NA,NA,NA,3,"d","1",NA,NA,NA,"4"
NA,NA,NA,3,"e","3",NA,NA,NA,"4"
NA,NA,NA,3,"f","2",NA,NA,NA,"4"
NA,NA,NA,3,"g","2",NA,NA,NA,"4"
NA,NA,NA,4,"a","-998",NA,NA,NA,"4"
NA,NA,NA,4,"b","-998",NA,NA,NA,"4"
NA,NA,NA,4,"c","-999",NA,NA,NA,"4"
NA,NA,NA,4,"d","5",NA,NA,NA,"4"
NA,NA,NA,4,"e","-998",NA,NA,NA,"4"
NA,NA,NA,4,"f","-998",NA,NA,NA,"4"
NA,NA,NA,4,"g","-998",NA,NA,NA,"4"
NA,NA,NA,5,"a","3",NA,NA,NA,"4"
NA,NA,NA,5,"b","2",NA,NA,NA,"4"
NA,NA,NA,5,"c","-999",NA,NA,NA,"4"
NA,NA,NA,5,"d","-998",NA,NA,NA,"4"
NA,NA,NA,5,"e","-998",NA,NA,NA,"4"
NA,NA,NA,5,"f","-998",NA,NA,NA,"4"
NA,NA,NA,5,"g","-998",NA,NA,NA,"4"
NA,NA,NA,6,"a","-999",NA,NA,NA,"4"
NA,NA,NA,6,"b","3",NA,NA,NA,"4"
NA,NA,NA,6,"c","-999",NA,NA,NA,"4"
NA,NA,NA,6,"d","-999",NA,NA,NA,"4"
NA,NA,NA,6,"e","-999",NA,NA,NA,"4"
NA,NA,NA,6,"f","-999",NA,NA,NA,"4"
NA,NA,NA,6,"g","-999",NA,NA,NA,"4"
NA,NA,NA,7,"a","-999",NA,NA,NA,"4"
NA,NA,NA,7,"b","-999",NA,NA,NA,"4"
NA,NA,NA,7,"c","-999",NA,NA,NA,"4"
NA,NA,NA,7,"d","5",NA,NA,NA,"4"
NA,NA,NA,7,"e","-999",NA,NA,NA,"4"
NA,NA,NA,7,"f","5",NA,NA,NA,"4"
NA,NA,NA,7,"g","5",NA,NA,NA,"4"
NA,NA,NA,8,NA,"2",NA,NA,NA,"4"
NA,NA,NA,9,"a","0",NA,NA,NA,"4"
NA,NA,NA,9,"b","0",NA,NA,NA,"4"
NA,NA,NA,9,"c","-999",NA,NA,NA,"4"
NA,NA,NA,9,"d","0",NA,NA,NA,"4"
NA,NA,NA,9,"e","0",NA,NA,NA,"4"
NA,NA,NA,9,"f","1",NA,NA,NA,"4"
NA,NA,NA,9,"g","1",NA,NA,NA,"4"
NA,NA,NA,10,"a","0",NA,NA,NA,"4"
NA,NA,NA,10,"b","1",NA,NA,NA,"4"
NA,NA,NA,10,"c","-999",NA,NA,NA,"4"
NA,NA,NA,10,"d","0",NA,NA,NA,"4"
NA,NA,NA,10,"e","0",NA,NA,NA,"4"
NA,NA,NA,10,"f","1",NA,NA,NA,"4"
NA,NA,NA,10,"g","1",NA,NA,NA,"4"
NA,NA,NA,11,NA,NA,"200","2500","sek_unit","4"
NA,NA,NA,12,NA,NA,"2500","5000","sek_unit","4"
NA,NA,NA,13,"a","0",NA,NA,NA,"4"
NA,NA,NA,13,"b","1",NA,NA,NA,"4"
NA,NA,NA,13,"c","-999",NA,NA,NA,"4"
NA,NA,NA,13,"d","2",NA,NA,NA,"4"
NA,NA,NA,13,"e","1",NA,NA,NA,"4"
NA,NA,NA,13,"f","2",NA,NA,NA,"4"
NA,NA,NA,13,"g","2",NA,NA,NA,"4"
NA,NA,NA,14,NA,"1",NA,NA,NA,"4"
NA,NA,NA,15,"a","-999",NA,NA,NA,"4"
NA,NA,NA,15,"b","1",NA,NA,NA,"4"
NA,NA,NA,15,"c","-999",NA,NA,NA,"4"
NA,NA,NA,15,"d","1",NA,NA,NA,"4"
NA,NA,NA,15,"e","1",NA,NA,NA,"4"
NA,NA,NA,15,"f","4",NA,NA,NA,"4"
NA,NA,NA,15,"g","1",NA,NA,NA,"4"
NA,NA,NA,16,NA,"1",NA,NA,NA,"4"
