"gear","area","target","id_q","id_sub.x","value","range.lwr","range.upr","unit_range","id_I","short_description","id_sub.y","text","score_obs","style","description","LIKERT"
NA,NA,NA,42,NA,NA,"20","30","hours_event",3,"extra_cleaning_cost","NA","20–30 hours. Salmon traps: ~20 h each to clean at season end, sometimes more. Warm July brings more growth. In 2018 it was so warm that when we hauled a trap, with so much fouling, we nearly sank when a waterspout hit",NA,"coastal","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",3,"exytra_other","NA","Mostly covered – repairs, gear blown ashore.",NA,"coastal","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"200","2500","sek_unit",4,"minor_damage_cost","NA","Propeller replacement is quite heavy, costs 2,500 SEK. Hull repair we fix ourselves, a couple hundred SEK",NA,"subsistence","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"2500","5000","sek_unit",4,"major_damage_cost","NA","Engines and boats are insured; we must cover gear ourselves. A few thousand SEK more than the 2,500.",NA,"subsistence","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA,"10",NA,"days ",4,"fdays","NA","Not much lately, maybe 10 days.",NA,"subsistence","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,NA,NA,"not_reported",4,"income","NA",NA,NA,"subsistence","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA,NA,"5000","sek_season",4,"season_maint","NA","5k SEK",NA,"subsistence","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"5000","20000","sek_season",4,"fuel_trip","NA","Significant; 20,000 SEK yearly, much for boats, transport to land, island transport. About 5,000 SEK/year.",NA,"subsistence","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,NA,NA,"not_reported",4,"extra_fuel","NA",NA,NA,"subsistence","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,NA,NA,"not_reported",4,"extra_crew","NA",NA,NA,"subsistence","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,NA,NA,"not_reported",4,"extra_cleaning_cost","NA","When cleaning fish, takes a lot of time.",NA,"subsistence","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",4,"exytra_other","NA","I think we’ve gone through most of it. Water levels: your report mentions it, and many are concerned about low water levels, which indeed happened; but high water is just as problematic – wading out to the boathouse in waders.",NA,"subsistence","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"10000","50000","sek_unit",5,"minor_damage_cost","NA","Anything from 10,000 SEK to 1 million SEK – these are expensive toys; hard to say",NA,"recreational","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"50000","1000000","sek_unit",5,"major_damage_cost","NA","Up to half a million SEK, not uncommon. For new trolling setups, even more. Sportfishing boats cost 50–300,000 SEK, sometimes double",NA,"recreational","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA," 5"," 100"," days",5,"fdays","NA","Not in SCB’s survey. Average angler maybe 5–10 days, but some 50–100 days. More than 100? Yes, HC!",NA,"recreational","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,NA,NA,"not_reported",5,"income","NA",NA,NA,"recreational","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA," 100"," 5000"," sek_season",5,"season_maint","NA","Servicing a boat: at least 5,000 SEK and up. Without a boat: maybe service a reel every couple of years, ~100 SEK",NA,"recreational","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"30"," 50"," liter_trip",5,"fuel_trip","NA","Varies hugely. Trolling anglers burn a lot. Ordinary perch & pike anglers maybe 30–50 L/trip on average",NA,"recreational","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,"20"," 50"," liter_trip",5,"extra_fuel","NA","Maybe 50 L for a trolling angler. Boats are efficient, so 20–50 L/trip",NA,"recreational","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,NA,NA,"not_reported",5,"extra_crew","NA",NA,NA,"recreational","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,"999"," 999"," hours",5,"extra_cleaning_cost","NA","Some make their own lures/jigs/wobblers – for them, that’s half the fishing time, usually done in winter.
Affected by algal bloom? No.",NA,"recreational","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",5,"exytra_other","NA","Yes – e.g., if you booked a salmon fishing week and they close fishing, you’re stuck with costs for a cabin if it can’t be rebooked. Usually you can rebook, but I don’t know the cost.",NA,"recreational","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"10000","50000","sek_unit",6,"minor_damage_cost","NA","Can be repaired on board; 50,000 to repair a trawl, transport it 10,000 SEK; if the entire trawl were destroyed, our trawl costs 200,000 SEK, there are trawls that cost 800,000 SEK, if you lose it
Repair costs 50,000-30,000 trawls
The boat is rarely damaged; but a 60 m boat got a hole in the side so they had to replace a plate, which cost 20-30,000 SEK, but we go ashore",NA,"pelagic_trawler","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"1e+05","5e+05","sek_unit",6,"major_damage_cost","NA","See 11",NA,"pelagic_trawler","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA,"140","170","days",6,"fdays","NA","In the Baltic Sea, from November to June, about half a year, 7 months, at the moment, but that can change; we fish about 80% of those days, are on board and have the trawl in and are fishing",NA,"pelagic_trawler","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,"25","30","Million_sek_season",6,"income","NA","It varies; if we're talking about all boats, we collaborate with another boat, and we've exchanged some fish between us; in the Bothnian Sea, [calculating] 11,000/hour, 25,000 per day in the Bothnian Sea; but off Shetland, we caught 400 tons of mackerel, the entire annual quota, in one hour! That was 8 million/hour",NA,"pelagic_trawler","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA,"1","10","% of income",6,"season_maint","NA","We are doing extensive renovations now, because we are doing a 10-year class when we go through the entire boat, so it could be 10% of the catch, in a normal year it is 1% of the catch (has an income of SEK 25-30 million per year), so 1% of that. If there are two trawls in a season, SEK 300-400. We have an extra trawl with us, as we have two drums, and we have 1-2 trawls in Norrsundet",NA,"pelagic_trawler","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"600","650","liters_hour",6,"fuel_trip","NA","if a fishing trip lasts about 1 week; in the Bothnian Sea; 50 m3/day * 6 days* = 240 kkr/week 2.5 tons * 4.5*22 hours; runs 22 hours per day 5000L*8h/day; for one week 240 kkr/week (in the Bothnian Sea) [talks about mackerel fishing]",NA,"pelagic_trawler","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,NA,NA,"not_reported",6,"extra_fuel","NA","transport by truck to Skagen from Norrsundet; do not want to drive the boat that far, it costs money; the Bothnian Sea to the Baltic Sea takes 1.5 days",NA,"pelagic_trawler","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,NA,NA,"not_reported",6,"extra_crew","NA","Occasionally, if someone is injured or unavailable; there are four of us on the boat; previously, when we had the net, we needed nine people, but that was ten years ago; substitutes receive the same pay",NA,"pelagic_trawler","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,"0","0","hours",6,"extra_cleaning_cost","NA","No, we don't need to clean the trawls; we lower them into the sea upside down so that they get clean; we both hose them down and dip them; no difference with algae blooms.",NA,"pelagic_trawler","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",6,"exytra_other","NA","Yes, a window can break if you hit a big wave. One boat had a compass on the roof that broke and made a hole right through the roof, so it can cause damage and break things. If water gets into the boat and damages the electronics, it becomes more expensive. 10,000 for a window",NA,"pelagic_trawler","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"1000","50000","sek_unit",7,"minor_damage_cost","NA","You know about nets, that's minor damage, but salmon traps cost more to repair because they're special equipment; a few thousand for nets, but salmon traps can cost tens of thousands to repair. Yes, on the boat, it's probably if you drive in bad weather, and there is greater damage to the propeller and gearbox on smaller boats, and on large boats it's also the propeller, then it's tens of thousands of kronor.",NA,"coastal","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"50000","100000","sek_unit",7,"major_damage_cost","NA","see 11",NA,"coastal","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA,NA," 200"," days",7,"fdays","NA","around 200 days",NA,"coastal","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA," 1000"," 50000"," sek_day",7,"income","NA","It depends on processing, fishing, and smoking; it varies at different times of the year. Spring and early summer are quite intense, then it slows down.
You don't get your money back for surströmming until you've sold the cans
Varies from SEK 10,000-50,000/day, depending on the catch and salmon and such; then it is processed
If you get 100 salmon in a trap in one day, that's worth quite a lot just raw, then you smoke it and save it, so you can spread it out over the year",NA,"coastal","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA," 10000"," 35000"," sek_season",7,"season_maint","NA","Nets require quite a lot of work, and salmon traps in the spring; say SEK 10,000-35,000/year. And in terms of time? About 30 days, depending on whether you encounter breakdowns and such.",NA,"coastal","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"5"," 50"," liter_trip",7,"fuel_trip","NA","30-50 liters of diesel for herring; if fishing for perch, the costs are not so high because it is quite close, then 4-5 liters of gasoline (because it is a small boat).",NA,"coastal","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,"50","100"," liter_trip",7,"extra_fuel","NA","100L of diesel for herring",NA,"coastal","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,"60000"," 100000"," sek_year",7,"extra_crew","NA","has one specifically for herring fishing; he does not fish that many days; costs SEK 60,000-100,000/year",NA,"coastal","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,"20",NA,"hours",7,"extra_cleaning_cost","NA","Rinses the salmon traps, takes a few hours in both spring and fall, approx. 20 hours; extra work if there is algae blooms; sometimes there is growth and sometimes there is moss floating around, which is difficult to rinse off, so it has to lie there and rot first; it grows on what is on the beaches and if it is windy, it comes loose and gets stuck in the trap",NA,"coastal","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",7,"exytra_other","NA","No, it's usually repairs if there is any damage, etc",NA,"coastal","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
