"gear","area","target","id_q","id_sub","value","range.lwr","range.upr","unit_range","id_I","text","score_obs","description","event_code","short_description","uncertainty","min","max","value.norm","unc.norm"
"not_specified",NA,NA,3,"e",-998,NA,NA,NA,1,"Don’t go out in cloudbursts; fish react to pressure changes; if there is low pressure during a downpour, then they stop biting, but if it rises after the downpour then it can be good; so I can’t say",NA,"Extreme cloudburst (in the summer season)","erf","catchability",1.5,1,5,NA,NA
"ice fishing",NA,NA,3,"e",NA,NA,NA,NA,1,"Don’t go out in cloudbursts; fish react to pressure changes; if there is low pressure during a downpour, then they stop biting, but if it rises after the downpour then it can be good; so I can’t say",NA,"Extreme cloudburst (in the summer season)","erf","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"e",NA,NA,NA,NA,1,"Don’t go out in cloudbursts; fish react to pressure changes; if there is low pressure during a downpour, then they stop biting, but if it rises after the downpour then it can be good; so I can’t say",NA,"Extreme cloudburst (in the summer season)","erf","catchability",1.5,1,5,NA,NA
"not_specified",NA,NA,3,"f",2,NA,NA,NA,1,": 2, a gale doesn’t matter for the fishing itself, other than that the gear is hard to use","2","Gale","gal","catchability",1.5,1,5,0.25,0.12
"ice fishing",NA,NA,3,"f",NA,NA,NA,NA,1,": 2, a gale doesn’t matter for the fishing itself, other than that the gear is hard to use","2","Gale","gal","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"f",NA,NA,NA,NA,1,": 2, a gale doesn’t matter for the fishing itself, other than that the gear is hard to use","2","Gale","gal","catchability",1.5,1,5,NA,NA
"not_specified",NA,NA,3,"g",-998,NA,NA,NA,1,"Don’t go out in a storm",NA,"Storm","sto","catchability",1.5,1,5,NA,NA
"ice fishing",NA,NA,3,"g",NA,NA,NA,NA,1,"Don’t go out in a storm",NA,"Storm","sto","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"g",NA,NA,NA,NA,1,"Don’t go out in a storm",NA,"Storm","sto","catchability",1.5,1,5,NA,NA
NA,NA,NA,4,"a",-997,NA,NA,NA,1,": 5   sea trout on open water, instead of perch and pike under the ice","5","Heatwave in the winter season","hww","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,4,"b",-997,NA,NA,NA,1,": 5   redirect the fishing down below the thermocline","5","Heatwave in the summer season","hws","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,4,"c",-998,NA,NA,NA,1,"No information",NA,"Severe icing (in the winter season)","ici","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,4,"d",-997,NA,NA,NA,1,"More about changing location (deeper), 5   choose other species (we fish pike & perch, sea trout)","5","Algal bloom (in the summer season)","abl","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,4,"e",-998,NA,NA,NA,1,"No other species, more that we don’t fish",NA,"Extreme cloudburst (in the summer season)","erf","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,4,"f",2,NA,NA,NA,1,": 2 sometimes; if it blows too hard and we are supposed to fish trout, then sometimes we have to go in and fish perch & pike instead","2","Gale","gal","catch_assemblage",1.5,1,5,0.25,0.12
NA,NA,NA,4,"g",-998,NA,NA,NA,1,"Cancel",NA,"Storm","sto","catch_assemblage",1.5,1,5,NA,NA
NA,NA,NA,5,"a",3,NA,NA,NA,1,"3","3","Heatwave in the winter season","hww","catch_condition",1.5,1,5,0.5,0.12
NA,NA,NA,5,"b",2,NA,NA,NA,1,"2, a b it worse","2","Heatwave in the summer season","hws","catch_condition",1.5,1,5,0.25,0.12
NA,NA,NA,5,"c",3,NA,NA,NA,1,"3","3","Severe icing (in the winter season)","ici","catch_condition",1.5,1,5,0.5,0.12
NA,NA,NA,5,"d",2,NA,NA,NA,1,"2","2","Algal bloom (in the summer season)","abl","catch_condition",1.5,1,5,0.25,0.12
NA,NA,NA,5,"e",3,NA,NA,NA,1,"3","3","Extreme cloudburst (in the summer season)","erf","catch_condition",1.5,1,5,0.5,0.12
NA,NA,NA,5,"f",3,NA,NA,NA,1,"3","3","Gale","gal","catch_condition",1.5,1,5,0.5,0.12
NA,NA,NA,5,"g",3,NA,NA,NA,1,"3","3","Storm","sto","catch_condition",1.5,1,5,0.5,0.12
NA,NA,NA,6,"a",-999,NA,NA,NA,1,NA,NA,"Heatwave in the winter season","hww","cope_condition",1.5,1,5,NA,NA
NA,NA,NA,6,"b",3,NA,NA,NA,1,"3  ","3","Heatwave in the summer season","hws","cope_condition",1.5,1,5,0.5,0.12
NA,NA,NA,6,"c",-999,NA,NA,NA,1,NA,NA,"Severe icing (in the winter season)","ici","cope_condition",1.5,1,5,NA,NA
NA,NA,NA,6,"d",3,NA,NA,NA,1,"3","3","Algal bloom (in the summer season)","abl","cope_condition",1.5,1,5,0.5,0.12
NA,NA,NA,6,"e",-999,NA,NA,NA,1,NA,NA,"Extreme cloudburst (in the summer season)","erf","cope_condition",1.5,1,5,NA,NA
NA,NA,NA,6,"f",-999,NA,NA,NA,1,NA,NA,"Gale","gal","cope_condition",1.5,1,5,NA,NA
NA,NA,NA,6,"g",-999,NA,NA,NA,1,NA,NA,"Storm","sto","cope_condition",1.5,1,5,NA,NA
NA,NA,NA,7,"a",4,NA,NA,NA,1,NA,NA,"Heatwave in the winter season","hww","lag_effect",1.5,1,5,0.75,0.12
NA,NA,NA,7,"b",-999,NA,NA,NA,1,NA,NA,"Heatwave in the summer season","hws","lag_effect",1.5,1,5,NA,NA
NA,NA,NA,7,"c",-999,NA,NA,NA,1,NA,NA,"Severe icing (in the winter season)","ici","lag_effect",1.5,1,5,NA,NA
NA,NA,NA,7,"d",-999,NA,NA,NA,1,NA,NA,"Algal bloom (in the summer season)","abl","lag_effect",1.5,1,5,NA,NA
NA,NA,NA,7,"e",-999,NA,NA,NA,1,NA,NA,"Extreme cloudburst (in the summer season)","erf","lag_effect",1.5,1,5,NA,NA
NA,NA,NA,7,"f",-999,NA,NA,NA,1,NA,NA,"Gale","gal","lag_effect",1.5,1,5,NA,NA
NA,NA,NA,7,"g",-999,NA,NA,NA,1,NA,NA,"Storm","sto","lag_effect",1.5,1,5,NA,NA
"not_specified",NA,NA,9,"a",NA,NA,NA,NA,1,"1 I do it for ice fishing; if no one falls in now, it is a miracle","1","Heatwave in the winter season","hww","personal_safety",1,0,2,NA,NA
"ice fishing",NA,NA,9,"a",1,NA,NA,NA,1,"1 I do it for ice fishing; if no one falls in now, it is a miracle","1","Heatwave in the winter season","hww","personal_safety",1,0,2,0.5,0
"not_specified",NA,NA,9,"b",0,NA,NA,NA,1,"0","0","Heatwave in the summer season","hws","personal_safety",1,0,2,0,0
"ice fishing",NA,NA,9,"b",NA,NA,NA,NA,1,"0","0","Heatwave in the summer season","hws","personal_safety",1,0,2,NA,NA
"not_specified",NA,NA,9,"c",2,NA,NA,NA,1,"2","2","Severe icing (in the winter season)","ici","personal_safety",1,0,2,1,0
"ice fishing",NA,NA,9,"c",NA,NA,NA,NA,1,"2","2","Severe icing (in the winter season)","ici","personal_safety",1,0,2,NA,NA
"not_specified",NA,NA,9,"d",0,NA,NA,NA,1,"0","0","Algal bloom (in the summer season)","abl","personal_safety",1,0,2,0,0
"ice fishing",NA,NA,9,"d",NA,NA,NA,NA,1,"0","0","Algal bloom (in the summer season)","abl","personal_safety",1,0,2,NA,NA
"not_specified",NA,NA,9,"e",1,NA,NA,NA,1,"1","1","Extreme cloudburst (in the summer season)","erf","personal_safety",1,0,2,0.5,0
"ice fishing",NA,NA,9,"e",NA,NA,NA,NA,1,"1","1","Extreme cloudburst (in the summer season)","erf","personal_safety",1,0,2,NA,NA
"not_specified",NA,NA,9,"f",1,NA,NA,NA,1,"1 (ordinary gale none, but strong gale)","1","Gale","gal","personal_safety",1,0,2,0.5,0
"ice fishing",NA,NA,9,"f",NA,NA,NA,NA,1,"1 (ordinary gale none, but strong gale)","1","Gale","gal","personal_safety",1,0,2,NA,NA
"not_specified",NA,NA,9,"g",2,NA,NA,NA,1,"2","2","Storm","sto","personal_safety",1,0,2,1,0
"ice fishing",NA,NA,9,"g",NA,NA,NA,NA,1,"2","2","Storm","sto","personal_safety",1,0,2,NA,NA
NA,NA,NA,10,"a",0,NA,NA,NA,1,"0","0","Heatwave in the winter season","hww","damage",1,0,3,0,0
NA,NA,NA,10,"b",0,NA,NA,NA,1,"0","0","Heatwave in the summer season","hws","damage",1,0,3,0,0
NA,NA,NA,10,"c",2,NA,NA,NA,1,"don’t know, probably 2. (have broken parts on the boat twice because of it)","2","Severe icing (in the winter season)","ici","damage",1,0,3,0.67,0
NA,NA,NA,10,"d",0,NA,NA,NA,1,"0","0","Algal bloom (in the summer season)","abl","damage",1,0,3,0,0
NA,NA,NA,10,"e",2,NA,NA,NA,1,"don’t know, more if the boat sinks; is that a 3 then, don’t know, depends on how big the damage is; in combination with storm then it becomes 3. Usually, you get away from a cloudburst. There is a risk; maybe 2","2","Extreme cloudburst (in the summer season)","erf","damage",1,0,3,0.67,0
NA,NA,NA,10,"f",1,NA,NA,NA,1,"1","1","Gale","gal","damage",1,0,3,0.33,0
NA,NA,NA,10,"g",2,NA,NA,NA,1,"3","3","Storm","sto","damage",1,0,3,0.67,0
NA,NA,NA,13,"a",-999,NA,NA,NA,1,NA,NA,"Heatwave in the winter season","hww","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"b",-999,NA,NA,NA,1,NA,NA,"Heatwave in the summer season","hws","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"c",-999,NA,NA,NA,1,NA,NA,"Severe icing (in the winter season)","ici","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"d",-999,NA,NA,NA,1,NA,NA,"Algal bloom (in the summer season)","abl","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"e",-999,NA,NA,NA,1,NA,NA,"Extreme cloudburst (in the summer season)","erf","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"f",-999,NA,NA,NA,1,NA,NA,"Gale","gal","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"g",-999,NA,NA,NA,1,NA,NA,"Storm","sto","change_practices",1,0,2,NA,NA
NA,NA,NA,15,"a",1,NA,NA,NA,1,NA,NA,"Heatwave in the winter season","hww","avoidance",2,1,5,0,0.25
NA,NA,NA,15,"b",2,NA,NA,NA,1,NA,NA,"Heatwave in the summer season","hws","avoidance",2,1,5,0.25,0.25
NA,NA,NA,15,"c",1,NA,NA,NA,1,NA,NA,"Severe icing (in the winter season)","ici","avoidance",2,1,5,0,0.25
NA,NA,NA,15,"d",2,NA,NA,NA,1,NA,NA,"Algal bloom (in the summer season)","abl","avoidance",2,1,5,0.25,0.25
NA,NA,NA,15,"e",1,NA,NA,NA,1,NA,NA,"Extreme cloudburst (in the summer season)","erf","avoidance",2,1,5,0,0.25
NA,NA,NA,15,"f",1,NA,NA,NA,1,NA,NA,"Gale","gal","avoidance",2,1,5,0,0.25
NA,NA,NA,15,"g",1,NA,NA,NA,1,NA,NA,"Storm","sto","avoidance",2,1,5,0,0.25
NA,NA,NA,21,"a",5,NA,NA,NA,1,"5","5","Heatwave in the winter season","hww","stress",4,1,5,1,0.75
NA,NA,NA,21,"b",5,NA,NA,NA,1,"5","5","Heatwave in the summer season","hws","stress",4,1,5,1,0.75
NA,NA,NA,21,"c",4,NA,NA,NA,1,"4 (one does not want to fish if the fish are not doing well, it is also bad promotion for me as a fishing guide)","4","Severe icing (in the winter season)","ici","stress",4,1,5,0.75,0.75
NA,NA,NA,0,NA,NA,NA,NA,NA,1,"Fishing guide",NA,NA,NA,"fishing_style",NA,NA,NA,NA,NA
NA,NA,NA,11,NA,NA,"10000","20000","sek_unit",1,"10 20k kr",NA,NA,NA,"minor_damage_cost",1,NA,NA,NA,NA
NA,NA,NA,12,NA,NA,"20000","6e+06","sek_unit",1,"20 600k  kr",NA,NA,NA,"major_damage_cost",1,NA,NA,NA,NA
NA,NA,NA,16,NA,0,NA,NA,NA,1,"0 , if you take the extreme weather event to its peak, extreme cloudburst or storm, then the boat does not help; same if it is extreme heatwave, then we cannot go out 38 42 °C; in 2018 we could not book the fishing. Another parameter: our activity also depends on demand, and demand is made impossible during many of these extreme weather events","0",NA,NA,"gear characteristics",2,0,2,0,0.25
NA,NA,NA,17,NA,2,NA,NA,NA,1,"2","2",NA,NA,"infrastructure",2,0,2,1,0.25
NA,NA,NA,18,NA,2,NA,NA,NA,1,"Sport fishing has great mobility; the accessibility to water. 2.","2",NA,NA,"management_space",2,0,2,1,0.25
NA,NA,NA,19,NA,2,NA,NA,NA,1,"2 Yes","2",NA,NA,"management_species",2,0,2,1,0.25
NA,NA,NA,23,NA,3,NA,NA,NA,1,"I have to work, so I have no choice; everyone has the opportunity to work with something else who has two legs and two arms; I only guide, I have nothing I can lean back on. Is it 3? I would have to.","3",NA,NA,"job_mobility",2,1,5,0.5,0.25
NA,NA,NA,24,NA,4,NA,NA,NA,1,"Would probably try to find solutions; sport fishing itself would certainly change, and then fishing guides would follow that change; there is probably some variation among guides depending on what one is specialized in ",NA,NA,NA,"entrepeneurship",2,1,5,0.75,0.25
NA,NA,NA,25,NA,1,NA,NA,NA,1,"1. there are no possibilities; completely self financed. The bank would just laugh at one. The businesses are too small, and no one invests in this. Our whole industry is like that","1",NA,NA,"credit",2,1,5,0,0.25
NA,NA,NA,27,NA,5,NA,NA,NA,1,"the world does not end without fishing guides; but we are ambassadors for how the development of fishing continues; it matters a lot how we handle fish & fishing in front of the general sport fishing mass, which is very large, 20% of Sweden’s population; 5. important for a positive handling of fish and restoration of habitat. We are the only voice for the fish in the water. Important that there is a small scale tourist fishing industry, for a positive development for the fish","5",NA,NA,"knowledge_transmission",5,1,5,1,1
NA,NA,NA,28,NA,3,NA,NA,NA,1,"quite a lot; 3; influences so that more sport fishing equipment is sold in the nearby shops, hotel nights, everything around lunches, dinners, and so on","3",NA,NA,"benefit_local_community",5,1,5,0.5,1
NA,NA,NA,29,NA,5,NA,NA,NA,1,"5. see answer to 27.","5",NA,NA,"benefit_personal_community",5,1,5,1,1
NA,NA,NA,30,NA,1,NA,NA,NA,1,"1. fish are not cows.  We do not fish for food, almost none of us.","1",NA,NA,"traditional_food",5,1,5,0,1
NA,NA,NA,32,NA,5,NA,NA,NA,1,"5","5",NA,NA,"outdoor_benefit",1,1,5,1,0
NA,NA,NA,33,NA,5,NA,NA,NA,1,"5","5",NA,NA,"identity",1,1,5,1,0
NA,NA,NA,34,NA,5,NA,NA,NA,1,"5, it creates positive memories; that is how one creates a relationship to places","5",NA,NA,"sense_of_home",1,1,5,1,0
NA,NA,NA,36,NA,100,NA,NA,NA,1,"100","100",NA,NA,"fdays",5,NA,NA,NA,NA
NA,NA,NA,37,NA,NA,"6000","8000","sek_day",1,"6000 8000 SEK/day and boat, generally the same for everyone",NA,NA,NA,"income",5,NA,NA,NA,NA
NA,NA,NA,38,NA,NA,"50000","10000","sek_season",1,"oh, you don’t want to know! what I do is so uneconomical; if the engine breaks then several 100,000 SEK go up in smoke, electric motor 50,000 SEK, sonar 50,000 SEK; is it rather 100,000 200,000 than 10,000 50,000 SEK? yes. Large part is expenses for material, applies also to the cars; 5 days a week fishing, 1 service day per week, 1 family day ",NA,NA,NA,"season_maint",5,NA,NA,NA,NA
NA,NA,NA,39,NA,NA,"1000","1000","sek_day",1,"maybe 1000 SEK/fishing day; this is the biggest expense besides food for a day",NA,NA,NA,"fuel_trip",5,NA,NA,NA,NA
NA,NA,NA,40,NA,NA,"500","500","sek_day",1,"1500 SEK for such a longer travel day",NA,NA,NA,"extra_fuel",5,NA,NA,NA,NA
NA,NA,NA,41,NA,NA,"2000","3000","sek_day",1,"I always guide myself; there are some who sometimes take in an extra person; quite expensive, since it is salary and employer’s contributions etc. (guess they get 1500 SEK, so in total it becomes 3000 SEK).",NA,NA,NA,"extra_crew",5,NA,NA,NA,NA
NA,NA,NA,42,NA,NA,NA,NA,"sek_day",1,"a whole workday for service, so it costs what I earn on a fishing day; no, not for algal bloom, but in gale or storm there are many lines that must be fixed; twice I have broken the boat due to icing, the trim motor and the steering, 15,000 SEK per time. ",NA,NA,NA,"extra_cleaning_cost",5,NA,NA,NA,NA
NA,NA,NA,43,NA,NA,NA,NA,"sek_day",1,"the biggest cost is the loss of income. Cancelled fishing days. A tourist usually does not rebook, especially if it is short notice change then I don’t have time to get in something else. Guides for corporate events are at 30,000 SEK, or 60,000 SEK when we are out with 6 boats; if you miss that then the whole income disappears; loss of income also arises because people do not book when there is extreme weather.",NA,NA,NA,"exytra_other",NA,NA,NA,NA,NA
NA,NA,NA,45,NA,-999,NA,NA,NA,1,"There may be disease among the fish during heatwaves, and that can have consequences for fishing for five years ahead; and algal bloom we do not know, but it does not feel good.
We are completely dependent on the fish being well.
How have perch and pike been doing this summer?

It was a bit weak when it was hot, but now they have started again. Probably quite a normal year. One adapts to the new. Sour that one cannot fish in the outer archipelago. It is an enormous difference from how it was when I was little, we would need supportive stocking of the pike stocks.
First year with protection. I have not seen so much herring in 15 years! We have had incredibly little fish coming in to spawn earlier; when they last did test fishing at Mörkö, there was an 84 86% decline in spawning herring.
Out last week, then there was herring in Furusundsleden, a lot of herring, proper schools. Summer herring. Don’t know when I last saw that. Very positive! Will have great impact on the predatory fish stocks. Hope that the seals can move out again, so they don’t have to hang around at Slussen.",NA,NA,NA,"addition",NA,NA,NA,NA,NA
NA,NA,NA,46,NA,1,NA,NA,NA,1,"The income is gone for that day. You lose customers. Even if you reschedule the fishing day, you lose a new customer on the rescheduled day.","1",NA,NA,"substitution_capacity",2,1,5,0,0.25
NA,NA,NA,2,"a",2,NA,NA,NA,2,"Extremely warm winter   we ice fish so little, therefore it is a bit difficult to answer. (2)","2","Heatwave in the winter season","hww","go_fishing",1,1,5,0.25,0
NA,NA,NA,2,"b",3,NA,NA,NA,2,"(3) Depends a little on what we are fishing","3","Heatwave in the summer season","hws","go_fishing",1,1,5,0.5,0
NA,NA,NA,2,"c",2,NA,NA,NA,2,"1","1","Severe icing (in the winter season)","ici","go_fishing",1,1,5,0.25,0
NA,NA,NA,2,"d",4,NA,NA,NA,2,"Doesn’t affect us much up here; locally there may be algal bloom in a bay. (4) ","4","Algal bloom (in the summer season)","abl","go_fishing",1,1,5,0.75,0
NA,NA,NA,2,"e",3,NA,NA,NA,2,"3","3","Extreme cloudburst (in the summer season)","erf","go_fishing",1,1,5,0.5,0
NA,NA,NA,2,"f",1,NA,NA,NA,2,"1, not me at least with my small boat","1","Gale","gal","go_fishing",1,1,5,0,0
NA,NA,NA,2,"g",1,NA,NA,NA,2,"1","1","Storm","sto","go_fishing",1,1,5,0,0
NA,NA,NA,3,"a",3,NA,NA,NA,2,"3","3","Heatwave in the winter season","hww","catchability",1,1,5,0.5,0
NA,NA,NA,3,"b",2,NA,NA,NA,2,"2, Becomes worse, maybe not for all species, but they move to other areas, so you have to search elsewhere","2","Heatwave in the summer season","hws","catchability",1,1,5,0.25,0
NA,NA,NA,3,"c",-998,NA,NA,NA,2,"Hypothetical question, since we always have ice in winter; icing can happen in autumn, but we rarely fish then, so can’t answer that ",NA,"Severe icing (in the winter season)","ici","catchability",1,1,5,NA,NA
NA,NA,NA,3,"d",-998,NA,NA,NA,2,"Hard to answer, doesn’t occur very often ",NA,"Algal bloom (in the summer season)","abl","catchability",1,1,5,NA,NA
NA,NA,NA,3,"e",3,NA,NA,NA,2,"3","3","Extreme cloudburst (in the summer season)","erf","catchability",1,1,5,0.5,0
NA,NA,NA,3,"f",2,NA,NA,NA,2,"It becomes harder to fish, but does not affect the actual catch; (2). Can affect a little since it’s harder to fish","2","Gale","gal","catchability",1,1,5,0.25,0
NA,NA,NA,3,"g",1,NA,NA,NA,2,"In a storm you can’t fish, so catchability is zero",NA,"Storm","sto","catchability",1,1,5,0,0
